fieldId,fov,ra,dec,gl,gb,el,eb
1,3.5,0.0,-90.0,-57.068082,-27.128251,-89.93121,-66.561358
2,3.5,180.0,-87.568555,-57.663825,-24.756541,-96.024547,-66.442665
3,3.5,324.000429,-87.56855,-54.980423,-28.712449,-85.262622,-65.058907
4,3.5,35.999571,-87.56855,-58.164147,-29.35981,-84.695237,-67.907706
5,3.5,252.001105,-87.568547,-54.748581,-25.862125,-91.659618,-64.238559
6,3.5,107.998895,-87.568547,-59.783409,-26.884345,-92.014382,-68.861218
7,3.5,215.999822,-85.272913,-55.055307,-22.767339,-98.530945,-63.521074
8,3.5,144.000178,-85.272913,-60.962456,-23.965047,-100.657165,-69.008447
9,3.5,0.0,-85.272892,-55.832423,-31.731354,-78.187331,-66.115804
10,3.5,288.000508,-85.272852,-51.760964,-27.451975,-86.818605,-62.029585
11,3.5,71.999492,-85.272852,-61.729156,-29.475691,-85.443814,-71.004026
12,3.5,323.999804,-84.735077,-52.467058,-30.516645,-80.472204,-63.146159
13,3.5,36.000196,-84.735077,-59.503812,-31.948416,-77.842141,-69.239397
14,3.5,180.0,-84.735076,-58.330105,-21.989837,-102.974707,-66.009915
15,3.5,251.999847,-84.735065,-52.108352,-24.341246,-93.33927,-61.510273
16,3.5,108.000153,-84.735065,-62.931222,-26.534884,-95.058516,-71.50094
17,3.5,203.144516,-82.798742,-55.702971,-20.036284,-104.616304,-62.955181
18,3.5,156.855484,-82.798742,-61.602311,-21.23131,-108.187615,-68.411111
19,3.5,275.144813,-82.798742,-49.128085,-25.938782,-88.666541,-59.38269
20,3.5,84.855187,-82.798742,-64.912625,-29.135078,-87.63283,-73.721502
21,3.5,347.144336,-82.798732,-53.32536,-33.566365,-73.715115,-64.047236
22,3.5,12.855664,-82.798732,-57.067502,-34.329519,-71.608147,-67.12327
23,3.5,228.855395,-82.798725,-52.534742,-21.230727,-99.656606,-60.774005
24,3.5,131.144605,-82.798725,-63.984174,-23.548233,-104.921715,-71.405354
25,3.5,300.855662,-82.798711,-49.223217,-29.134101,-82.506644,-60.163007
26,3.5,59.144338,-82.798711,-63.19928,-31.970767,-77.672527,-72.374147
27,3.5,180.0,-81.973217,-58.95495,-19.29057,-109.451821,-65.298603
28,3.5,324.000019,-81.973212,-49.927115,-32.227181,-76.393208,-61.14581
29,3.5,35.999981,-81.973212,-60.884043,-34.457327,-70.405982,-70.244716
30,3.5,251.999994,-81.973201,-49.596017,-22.815921,-94.714066,-58.834237
31,3.5,108.000006,-81.973201,-65.979322,-26.128232,-98.944577,-74.012556
32,3.5,216.000173,-80.51551,-53.155853,-18.354604,-105.416123,-60.045107
33,3.5,143.999827,-80.51551,-64.690789,-20.687264,-113.646717,-70.642879
34,3.5,0.0,-80.515486,-54.458238,-36.350657,-67.148488,-64.815814
35,3.5,288.000293,-80.515473,-46.398292,-27.573833,-84.505478,-57.416571
36,3.5,71.999707,-80.515473,-66.634802,-31.666543,-78.352783,-75.302998
37,3.5,268.858491,-80.199637,-46.621509,-24.37319,-90.285724,-56.7624
38,3.5,91.141509,-80.199637,-68.020687,-28.691693,-90.754942,-76.358457
39,3.5,196.858418,-80.199616,-56.355512,-17.350005,-110.364391,-62.185419
40,3.5,163.141582,-80.199616,-62.173805,-18.527738,-115.100064,-67.478065
41,3.5,340.858244,-80.199612,-50.722802,-35.295877,-69.987917,-61.871925
42,3.5,19.141756,-80.199612,-58.402094,-36.863463,-64.668064,-67.865003
43,3.5,235.141668,-80.199608,-50.081026,-19.709465,-100.526015,-58.053211
44,3.5,124.858332,-80.199608,-66.94892,-23.115317,-110.173744,-73.669385
45,3.5,307.141808,-80.199595,-46.664417,-30.772295,-78.67633,-58.225328
46,3.5,52.858192,-80.199595,-64.690579,-34.428699,-68.912044,-73.349236
47,3.5,180.0,-79.219669,-59.557708,-16.59738,-115.510908,-64.328747
48,3.5,251.99999,-79.219634,-47.147329,-21.256845,-95.887939,-56.153788
49,3.5,108.00001,-79.219634,-68.995579,-25.659435,-104.184314,-76.422442
50,3.5,324.000147,-79.219603,-47.2993,-33.880131,-72.822527,-59.044015
